OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-08-27T05:58:22.437984,13.76688378,.00279796,90.2173,73.4204,77.9115,331.1752,0,U,900,999,8120,.52152969E-3,.523E-5,0
CALSPHERE 2,1964-063E,2026-08-27T01:03:45.151776,13.52904881,.00194904,90.2290,77.4678,27.2237,93.4292,0,U,902,999,86584,.7161596E-4,.56E-6,0
LCS 1,1965-034C,2026-08-27T01:23:41.893728,9.89310635,.00116486,32.1463,8.7513,12.5617,347.5170,0,U,1361,999,21690,-.33863616E-3,.6E-7,0
TEMPSAT 1,1965-065E,2026-08-26T16:31:39.977760,13.33597457,.00713665,90.0021,212.6006,51.6987,125.3439,0,U,1512,999,96944,.46520679E-4,.33E-6,0
CALSPHERE 4A,1965-065H,2026-08-27T05:21:56.182752,13.36288717,.00678695,89.8939,121.7802,263.3895,226.8350,0,U,1520,999,97219,.15254283E-3,.88E-6,0
OPS 5712 (P/L 160),1967-053A,2026-08-27T05:43:40.277568,14.78512327,.00045065,69.9144,224.0259,281.8354,78.2288,0,U,2826,999,7673,.10239352E-2,.742E-4,0
LES-5,1967-066E,2026-08-26T17:16:25.706208,1.09425048,.00515245,2.7823,94.3036,214.5197,95.7502,0,U,2866,999,13180,0,-.49E-6,0
SURCAL 159,1967-053F,2026-08-27T06:25:38.729568,13.99616632,.00064031,69.9727,207.7631,358.5209,1.5878,0,U,2872,999,2015,.74488624E-4,.55E-6,0
OPS 5712 (P/L 153),1967-053H,2026-08-27T05:32:47.215392,13.96837084,.00046965,69.9759,323.0286,110.6308,249.5302,0,U,2874,999,1671,.56311827E-4,.25E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-08-27T05:50:30.282720,14.37942600,.00595045,87.6242,319.0896,359.4047,0.7071,0,U,5398,999,88409,.14453317E-3,.463E-5,0
OSCAR 7 (AO-7),1974-089B,2026-08-26T22:27:05.059008,12.53699297,.0012226,101.9921,252.9218,358.1303,117.0601,0,U,7530,999,36938,.14709E-3,-.23E-6,0
STARLETTE,1975-010A,2026-08-27T05:26:11.521536,13.82351495,.02057068,49.8238,184.1897,297.7368,60.2796,0,U,7646,999,60436,-.8599983E-5,-.152E-5,0
LAGEOS 1,1976-039A,2026-08-26T20:41:48.431904,6.38664807,.0044637,109.8124,203.5202,287.1145,91.8280,0,U,8820,999,91765,0,.3E-7,0
PHASE 3B (AO-10),1983-058B,2026-08-22T21:16:39.881280,2.05871966,.59889826,25.9661,208.6277,133.9728,294.5118,0,U,14129,999,29686,0,-.31E-5,0
UOSAT 2 (UO-11),1984-021B,2026-08-26T19:52:07.766688,14.90949274,.00065099,97.8133,203.6479,320.7132,39.3613,0,U,14781,999,26765,.14718669E-3,.1397E-4,0
AJISAI (EGS),1986-061A,2026-08-27T07:03:38.309760,12.44517112,.00112131,50.0094,288.7469,1.6918,98.4030,0,U,16908,999,48924,.19000642E-3,-.7E-6,0
TDRS 3,1988-091B,2026-08-27T04:11:57.198912,1.00265411,.00367941,12.5492,340.5206,352.9078,15.9075,0,U,19548,999,12610,0,-.293E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-08-27T07:07:19.001280,2.13156073,.00233816,64.9904,69.7653,217.3915,314.0947,0,U,19751,999,29288,0,.36E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-08-25T11:01:43.221792,2.13204741,.00208548,64.8882,308.1472,212.2599,159.0933,0,U,20026,999,28998,0,-.26E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-08-26T19:04:38.790624,1.00261458,.00015085,12.4027,350.7286,155.8491,240.0249,0,U,20253,999,26127,0,-.363E-5,0
LUSAT (LO-19),1990-005G,2026-08-26T12:11:59.300736,14.34140075,.00115641,98.8840,262.2460,5.5985,354.5326,0,U,20442,999,91247,.50099663E-4,.94E-6,0
HST,1990-037B,2026-08-26T14:27:59.366880,15.31467877,.00017959,28.4735,319.0462,193.1624,166.8925,0,U,20580,999,79937,.20206862E-3,.6557E-4,0
TDRS 5,1991-054B,2026-08-26T13:59:19.332960,1.00273194,.0008224,14.0628,353.2456,246.5741,137.1768,0,U,21639,999,12842,0,.89E-6,0
LAGEOS 2,1992-070B,2026-08-21T09:32:35.937888,6.47294115,.0138023,52.6388,225.4441,215.8898,299.2312,0,U,22195,999,79964,0,-.9E-7,0
TDRS 6,1993-003B,2026-08-27T04:12:57.102624,1.00264038,.00101674,14.1847,356.5216,195.6629,160.3275,0,U,22314,999,12311,0,-.291E-5,0
SCD 1,1993-009B,2026-08-26T19:53:25.948320,14.46143879,.00419996,24.9688,131.3967,165.4512,246.0415,0,U,22490,999,77135,.60015059E-4,.407E-5,0
UFO 2 (USA 95),1993-056A,2026-08-26T23:26:15.164160,1.00270384,.00010527,11.9204,3.1511,250.3784,101.8965,0,U,22787,999,11925,0,.129E-5,0
STELLA,1993-061B,2026-08-27T06:31:42.669696,14.27472052,.00070065,98.7666,303.7575,38.2012,49.3199,0,U,22824,999,71491,.740381E-5,-.27E-6,0
EYESAT A (AO-27),1993-061C,2026-08-27T04:21:57.506976,14.30957730,.00073107,98.6824,306.5492,249.1133,110.9267,0,U,22825,999,71715,.48223436E-4,.82E-6,0
ITAMSAT (IO-26),1993-061D,2026-08-27T03:21:47.145600,14.31386236,.00079916,98.6773,306.4325,230.4854,129.5623,0,U,22826,999,71746,.47357602E-4,.81E-6,0
RADIO ROSTO (RS15),1994-085A,2026-08-27T05:52:14.169216,11.27584083,.01585456,64.8155,188.2934,350.9911,8.8177,0,U,23439,999,30391,-.52204798E-3,-.61E-6,0
