OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2026-09-08T14:58:28.028928,12.53699481,.0012095,101.9922,265.7431,333.6480,144.3827,0,U,7530,999,37097,.12928856E-3,-.26E-6,0
PHASE 3B (AO-10),1983-058B,2026-09-03T01:15:10.727136,2.05870144,.5985571,25.9715,206.8146,137.0259,289.6643,0,U,14129,999,29709,0,-.9E-7,0
UOSAT 2 (UO-11),1984-021B,2026-09-08T20:20:33.322560,14.90978169,.00060082,97.8157,216.5399,267.9183,92.1348,0,U,14781,999,26959,.1292452E-3,.1221E-4,0
LUSAT (LO-19),1990-005G,2026-09-08T14:59:29.637312,14.34142631,.00108642,98.8830,275.7198,325.9992,34.0494,0,U,20442,999,91435,.40323275E-4,.66E-6,0
EYESAT A (AO-27),1993-061C,2026-09-08T21:47:24.029664,14.30960057,.00078397,98.6806,319.2596,207.8220,152.2545,0,U,22825,999,71897,.34684285E-4,.47E-6,0
ITAMSAT (IO-26),1993-061D,2026-09-08T22:22:24.499200,14.31388851,.00086691,98.6755,319.2101,190.5570,169.5433,0,U,22826,999,71929,.36144212E-4,.51E-6,0
RADIO ROSTO (RS15),1994-085A,2026-09-08T20:07:22.332288,11.27584032,.01589499,64.8167,167.9272,348.8045,10.9360,0,U,23439,999,30533,-.62501128E-3,-.65E-6,0
JAS-2 (FO-29),1996-046B,2026-09-08T11:39:04.943232,13.53277783,.03489665,98.5174,88.9384,240.1880,116.4141,0,U,24278,999,48443,.2366855E-4,-.14E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-09-08T13:59:21.549120,14.24441858,.00013616,99.0147,246.4736,24.7719,335.3524,0,U,25397,999,46320,.36252384E-4,.37E-6,0
ISS (ZARYA),1998-067A,2026-09-08T23:34:28.526304,15.49061543,.00048547,51.6292,245.3706,110.6068,249.5441,0,U,25544,999,58474,.25209066E-3,.13495E-3,0
